Successful: 4728
Failed: 2328
Sent to users:
341. User ID: 376611398, Status: Not delivered
342. User ID: 380316118, Status: Delivered
343. User ID: 381674194, Status: Delivered
344. User ID: 382918965, Status: Delivered
345. User ID: 383900938, Status: Delivered
346. User ID: 384319546, Status: Not delivered
347. User ID: 387338541, Status: Delivered
348. User ID: 387361959, Status: Delivered
349. User ID: 390204803, Status: Delivered
350. User ID: 391059705, Status: Not delivered
351. User ID: 391066803, Status: Delivered
352. User ID: 391182074, Status: Delivered
353. User ID: 391401143, Status: Delivered
354. User ID: 391732016, Status: Not delivered
355. User ID: 393580643, Status: Delivered
356. User ID: 394105371, Status: Delivered
357. User ID: 394497414, Status: Delivered
358. User ID: 394623934, Status: Delivered
359. User ID: 394977813, Status: Not delivered
360. User ID: 395777824, Status: Delivered
361. User ID: 395823696, Status: Not delivered
362. User ID: 395846750, Status: Not delivered
363. User ID: 396647289, Status: Not delivered
364. User ID: 396790775, Status: Not delivered
365. User ID: 397406365, Status: Not delivered
366. User ID: 399164632, Status: Not delivered
367. User ID: 399437822, Status: Delivered
368. User ID: 399729020, Status: Not delivered
369. User ID: 399745737, Status: Delivered
370. User ID: 400077575, Status: Not delivered
371. User ID: 400612995, Status: Not delivered
372. User ID: 402056040, Status: Not delivered
373. User ID: 402245398, Status: Delivered
374. User ID: 402784568, Status: Delivered
375. User ID: 403413041, Status: Delivered
376. User ID: 404190229, Status: Not delivered
377. User ID: 408046884, Status: Delivered
378. User ID: 409911238, Status: Delivered
379. User ID: 410626493, Status: Delivered
380. User ID: 410835136, Status: Not delivered
381. User ID: 412266180, Status: Not delivered
382. User ID: 415583434, Status: Delivered
383. User ID: 415651676, Status: Delivered
384. User ID: 415665882, Status: Not delivered
385. User ID: 416018129, Status: Delivered
386. User ID: 418362106, Status: Not delivered
387. User ID: 418796099, Status: Delivered
388. User ID: 418899117, Status: Delivered
389. User ID: 419246602, Status: Delivered
390. User ID: 419257305, Status: Not delivered
391. User ID: 421623382, Status: Delivered
392. User ID: 422760721, Status: Delivered
393. User ID: 423768141, Status: Delivered
394. User ID: 423812012, Status: Not delivered
395. User ID: 424413024, Status: Delivered
396. User ID: 425423879, Status: Delivered
397. User ID: 426738864, Status: Not delivered
398. User ID: 427414112, Status: Not delivered
399. User ID: 427531683, Status: Not delivered
400. User ID: 428112786, Status: Delivered
401. User ID: 428263025, Status: Not delivered
402. User ID: 428333923, Status: Delivered
403. User ID: 428549059, Status: Delivered
404. User ID: 429091496, Status: Delivered
405. User ID: 430321197, Status: Delivered
406. User ID: 431086851, Status: Not delivered
407. User ID: 431248778, Status: Not delivered
408. User ID: 431442287, Status: Delivered
409. User ID: 432963868, Status: Delivered
410. User ID: 433887788, Status: Not delivered
411. User ID: 434288635, Status: Delivered
412. User ID: 434662735, Status: Not delivered
413. User ID: 434781931, Status: Delivered
414. User ID: 434939432, Status: Not delivered
415. User ID: 437128334, Status: Not delivered
416. User ID: 437183641, Status: Delivered
417. User ID: 437886679, Status: Not delivered
418. User ID: 439037667, Status: Delivered
